State,AStar_PathLength,AStar_MoveSum,Price_PathLength,Price_MoveSum,Difference
"[[1, 2, 8], [4, 5, 7], [6, 3, 0]]",22,106,22,106,0
"[[7, 6, 0], [8, 4, 2], [5, 1, 3]]",24,115,28,109,-4
"[[7, 5, 1], [3, 6, 0], [2, 8, 4]]",21,92,21,92,0
"[[2, 7, 0], [4, 5, 1], [6, 8, 3]]",24,112,24,102,0
"[[2, 8, 1], [5, 4, 3], [0, 6, 7]]",24,126,26,116,-2
"[[6, 3, 8], [5, 2, 0], [1, 4, 7]]",19,90,19,90,0
"[[3, 6, 5], [1, 7, 2], [8, 0, 4]]",21,97,21,97,0
"[[4, 7, 6], [8, 1, 0], [5, 2, 3]]",25,109,25,109,0
"[[0, 8, 1], [6, 5, 7], [2, 4, 3]]",24,119,24,119,0
"[[1, 6, 0], [4, 8, 3], [7, 5, 2]]",18,84,18,84,0
"[[1, 8, 5], [4, 0, 7], [6, 2, 3]]",24,111,24,109,0
"[[2, 5, 0], [3, 1, 4], [7, 6, 8]]",24,110,26,98,-2
"[[6, 4, 3], [1, 8, 5], [0, 2, 7]]",20,90,20,90,0
"[[3, 1, 4], [7, 6, 0], [8, 2, 5]]",21,82,21,82,0
"[[5, 1, 6], [3, 4, 8], [0, 7, 2]]",22,91,22,85,0
"[[3, 6, 7], [5, 2, 8], [1, 4, 0]]",20,93,20,93,0
"[[4, 1, 2], [3, 5, 7], [0, 6, 8]]",20,105,20,105,0
"[[3, 0, 7], [2, 4, 6], [5, 1, 8]]",19,83,19,83,0
"[[6, 1, 4], [0, 5, 3], [8, 2, 7]]",27,134,27,120,0
"[[0, 3, 8], [1, 4, 5], [6, 7, 2]]",20,100,20,100,0
"[[0, 1, 8], [3, 6, 4], [2, 7, 5]]",20,85,20,85,0
"[[8, 6, 5], [7, 0, 2], [4, 3, 1]]",26,114,26,114,0
"[[3, 7, 1], [4, 0, 6], [5, 8, 2]]",20,87,20,87,0
"[[5, 0, 7], [6, 2, 1], [3, 4, 8]]",25,109,25,109,0
