Grid Size,Avg Steps,Std Dev Steps,Avg CPU Time (s),Std Dev CPU Time (s)
3x3,49.4,22.154006409676782,0.0032440909999999603,0.002463238056170874
4x4,265.4,45.008888011147306,0.0904498448,0.04358691495512303
5x5,555.2,105.96084182376055,0.7707476107999998,0.5333660638223728
6x6,1024.4,975.0596392016233,3.7947082934,1.4894622291241242
